strategy,seed,iteration,num_labeled_samples,query_time,test_mAP,test_mAP_oth,num_segments_oth,test_mAP_whp,num_segments_whp,test_mAP_rum,num_segments_rum,test_mAP_grn,num_segments_grn,test_mAP_gig,num_segments_gig,test_mAP_str,num_segments_str,test_mAP_fed,num_segments_fed,test_mAP_sql,num_segments_sql,test_mAP_snr,num_segments_snr,test_mAP_gwl,num_segments_gwl
badge-greedy-dpp,8,5,1800,17.100736,0.625124,0.340884,545,0.788543,274,0.642276,178,0.853532,336,0.507777,276,0.421767,152,0.799341,398,0.628047,415,0.868960,76,0.400111,111
badge-greedy-dpp,8,6,2100,15.179103,0.631198,0.354438,634,0.795432,313,0.659381,205,0.858591,412,0.516758,315,0.432380,172,0.801238,458,0.618984,487,0.885906,95,0.388875,127
badge-greedy-dpp,8,7,2400,15.149042,0.640892,0.356593,718,0.804745,352,0.675260,231,0.859735,473,0.517217,355,0.435759,198,0.804551,525,0.628815,544,0.905983,112,0.420266,141
badge-greedy-dpp,8,8,2700,15.21585,0.645640,0.361463,814,0.809611,392,0.673535,259,0.863642,529,0.529880,395,0.430558,216,0.812518,594,0.637169,582,0.919763,120,0.418260,156
badge-greedy-dpp,8,9,3000,16.958579,0.648335,0.366147,906,0.808507,428,0.686514,295,0.869870,580,0.518023,420,0.432903,235,0.816183,656,0.625677,630,0.931602,132,0.427924,166
badge-greedy-dpp,9,0,300,0.000306,0.197150,0.118764,14,0.224938,5,0.067116,3,0.598295,10,0.045170,4,0.023178,4,0.712982,29,0.162420,9,0.006783,1,0.011853,1
badge-greedy-dpp,9,1,600,14.615304,0.427592,0.242899,76,0.615268,24,0.523562,29,0.768497,120,0.205244,39,0.061773,21,0.734194,114,0.499898,63,0.607815,4,0.016774,6
badge-greedy-dpp,9,2,900,14.996109,0.529444,0.268064,203,0.715477,101,0.583821,70,0.810931,200,0.432302,126,0.273581,47,0.768298,194,0.521399,165,0.773077,26,0.147488,33
badge-greedy-dpp,9,3,1200,13.915652,0.563186,0.285600,316,0.741150,159,0.612021,104,0.820106,266,0.468453,185,0.355048,89,0.794409,269,0.567497,238,0.816370,40,0.171202,51
badge-greedy-dpp,9,4,1500,15.033406,0.589996,0.296758,427,0.747606,204,0.620194,138,0.836222,337,0.470507,247,0.405515,117,0.806195,326,0.586445,314,0.854551,55,0.275963,70
badge-greedy-dpp,9,5,1800,13.859835,0.608703,0.323516,536,0.769939,257,0.645889,173,0.839428,400,0.503188,289,0.378058,145,0.805701,384,0.602054,380,0.890485,79,0.328776,92
badge-greedy-dpp,9,6,2100,15.105458,0.622436,0.335607,631,0.774919,305,0.650842,208,0.848871,465,0.510780,328,0.415315,168,0.809558,443,0.620721,437,0.902700,91,0.355043,112
badge-greedy-dpp,9,7,2400,15.105559,0.631700,0.329825,740,0.790811,341,0.649782,248,0.856259,529,0.505200,364,0.421973,189,0.813744,516,0.616513,501,0.910762,101,0.422130,130
badge-greedy-dpp,9,8,2700,13.865854,0.639444,0.331380,822,0.800653,379,0.665564,274,0.857761,573,0.515421,395,0.418665,212,0.819383,568,0.632672,560,0.923015,111,0.429930,144
badge-greedy-dpp,9,9,3000,21.276647,0.634753,0.348188,907,0.803173,410,0.660198,296,0.860750,630,0.515530,432,0.395110,231,0.821842,633,0.627610,615,0.923914,119,0.391217,155
badge-kmeans++,0,0,300,0.002244,0.149903,0.056772,13,0.283112,5,0.022936,6,0.399865,11,0.008661,2,0.010968,2,0.643587,24,0.025726,4,0.044816,1,0.002586,3
badge-kmeans++,0,1,600,23.42707,0.338056,0.128229,26,0.637908,19,0.365904,13,0.742166,27,0.153973,9,0.060146,5,0.741819,58,0.339951,14,0.178362,2,0.032100,6
badge-kmeans++,0,2,900,9.501199,0.508598,0.237028,126,0.709570,57,0.564100,32,0.804823,89,0.389348,61,0.275602,25,0.776698,148,0.512148,93,0.668767,11,0.147900,27
badge-kmeans++,0,3,1200,9.626605,0.551489,0.258593,213,0.736620,89,0.605216,57,0.818508,123,0.461745,110,0.334874,41,0.804490,234,0.552720,157,0.736162,18,0.205959,38
badge-kmeans++,0,4,1500,10.134401,0.567447,0.290516,275,0.735053,117,0.585865,73,0.835191,156,0.475754,134,0.385327,63,0.811098,319,0.568832,204,0.818353,27,0.168476,48
badge-kmeans++,0,5,1800,9.797281,0.596912,0.315271,351,0.754260,142,0.617601,85,0.841412,192,0.478334,164,0.390637,86,0.811051,414,0.575476,258,0.876095,35,0.308979,59
badge-kmeans++,0,6,2100,10.245322,0.606453,0.342876,421,0.762422,158,0.627855,104,0.846807,229,0.479479,197,0.372353,97,0.817400,524,0.590151,294,0.899156,42,0.326031,68
badge-kmeans++,0,7,2400,9.801602,0.613040,0.330724,485,0.762807,192,0.625909,121,0.847341,265,0.487181,219,0.420285,112,0.827094,629,0.593879,333,0.900107,45,0.335073,78
badge-kmeans++,0,8,2700,9.600565,0.614013,0.337932,555,0.775802,218,0.627496,142,0.847873,305,0.498791,249,0.381161,124,0.823466,732,0.605282,374,0.902570,48,0.339762,93
badge-kmeans++,0,9,3000,10.04681,0.628548,0.350071,624,0.780470,248,0.641230,156,0.861369,343,0.492299,273,0.408353,134,0.831376,823,0.615968,419,0.917121,52,0.387226,100
badge-kmeans++,1,0,300,0.000297,0.255981,0.121055,8,0.584291,13,0.031739,1,0.669438,19,0.099932,3,0.067980,4,0.663980,28,0.297210,7,0.005241,0,0.018942,1
badge-kmeans++,1,1,600,12.053434,0.413533,0.208697,87,0.707342,76,0.483307,19,0.782165,67,0.296527,50,0.201823,17,0.758688,127,0.504730,61,0.098955,1,0.093099,14
badge-kmeans++,1,2,900,9.716821,0.522124,0.245135,127,0.732976,101,0.572035,43,0.795461,104,0.404634,70,0.300319,31,0.786834,183,0.538189,95,0.726830,10,0.118825,25
badge-kmeans++,1,3,1200,9.967214,0.560973,0.253113,194,0.736698,126,0.583763,61,0.823762,138,0.400662,103,0.319298,46,0.789640,274,0.536652,147,0.871002,25,0.295139,38
badge-kmeans++,1,4,1500,9.485793,0.581691,0.293219,264,0.758856,151,0.609061,79,0.829815,169,0.441667,146,0.346821,64,0.818861,351,0.562171,190,0.875337,28,0.281098,52
badge-kmeans++,1,5,1800,10.469904,0.585649,0.306136,319,0.766158,179,0.623027,93,0.838567,201,0.453689,170,0.344243,82,0.824900,437,0.577329,231,0.865048,34,0.257390,55
badge-kmeans++,1,6,2100,19.429884,0.584978,0.282137,392,0.767101,204,0.637514,106,0.838355,241,0.473927,198,0.384510,101,0.824749,526,0.575937,280,0.869031,39,0.196523,64
